event_name,event_time,event_mag,net,sta,comp,slat,slon,sevla,dist,snr,polarity,sharpness,ray_azimuth,take_off_angle,P_time,S_time
sparta1.4795,2020-08-10T23:38:09,-1.49,N4,U56A,HHZ,36.3472,-80.3829,363.0,65.780106,-2.7354751493565557,x,x,102.20469,,2020-08-10T23:38:20.341852Z,2020-08-10T23:38:28.012354Z
sparta1.4795,2020-08-10T23:38:09,-1.49,N4,V55A,HHZ,35.8518,-81.2149,313.0,69.89459,-0.18319754478502037,x,x,188.60498,,2020-08-10T23:38:21.041994Z,2020-08-10T23:38:29.192087Z
sparta1.4795,2020-08-10T23:38:09,-1.49,US,BLA,BHZ,37.2113,-80.42049,634.0,101.71899,-1.2978785221046012,x,x,36.316326,89.85799479062881,2020-08-10T23:38:26.538349Z,2020-08-10T23:38:38.399544Z
sparta1.4896,2020-08-10T23:52:39,-0.73,ET,GFM,HHZ,36.111,-81.807,1726.0,76.056366,-0.30428178737168476,x,x,238.71207,,2020-08-10T23:52:52.113476Z,2020-08-10T23:53:00.982126Z
sparta1.4896,2020-08-10T23:52:39,-0.73,ET,S1NC,HHZ,36.4787,-81.09453,874.0,1.3550279,4.9967607929530296,U,E,321.52704,,2020-08-10T23:52:39.248374Z,2020-08-10T23:52:39.423112Z
sparta1.4896,2020-08-10T23:52:39,-0.73,ET,S2NC,HHZ,36.46379,-81.14582,934.0,5.47277,0.4964699327662491,x,x,263.79245,,2020-08-10T23:52:39.940019Z,2020-08-10T23:52:40.582517Z
sparta1.4896,2020-08-10T23:52:39,-0.73,N4,U54A,HHZ,36.5209,-81.8204,837.0,66.12835,-0.7370550126814923,x,x,275.2006,,2020-08-10T23:52:50.402004Z,2020-08-10T23:52:58.113184Z
sparta1.4896,2020-08-10T23:52:39,-0.73,N4,U56A,HHZ,36.3472,-80.3829,363.0,64.424416,-2.680742815351789,x,x,101.91667,,2020-08-10T23:52:50.108181Z,2020-08-10T23:52:57.620651Z
sparta1.4896,2020-08-10T23:52:39,-0.73,N4,V55A,HHZ,35.8518,-81.2149,313.0,69.489685,0.7634045613551317,x,x,189.71237,,2020-08-10T23:52:50.972227Z,2020-08-10T23:52:59.075140Z
sparta1.4896,2020-08-10T23:52:39,-0.73,US,BLA,BHZ,37.2113,-80.42049,634.0,101.478264,-0.7147344721533149,x,x,35.54872,89.90498402723865,2020-08-10T23:52:56.496813Z,2020-08-10T23:53:08.329918Z
sparta1.5202,2020-08-11T00:36:44,-0.81,ET,GFM,HHZ,36.111,-81.807,1726.0,76.006195,-1.342437044443379,x,x,238.46707,,2020-08-11T00:36:57.104790Z,2020-08-11T00:37:05.967566Z
sparta1.5202,2020-08-11T00:36:44,-0.81,ET,S1NC,HHZ,36.4787,-81.09453,874.0,1.0280912,15.505327031133827,D,E,322.08487,,2020-08-11T00:36:44.187186Z,2020-08-11T00:36:44.320542Z
sparta1.5202,2020-08-11T00:36:44,-0.81,ET,S2NC,HHZ,36.46379,-81.14582,934.0,5.296671,10.273248013290972,D,E,260.8568,,2020-08-11T00:36:44.907310Z,2020-08-11T00:36:45.527694Z
sparta1.5202,2020-08-11T00:36:44,-0.81,N4,U54A,HHZ,36.5209,-81.8204,837.0,65.89568,-1.43421179538059,x,x,274.9996,,2020-08-11T00:36:55.361805Z,2020-08-11T00:37:03.045801Z
sparta1.5202,2020-08-11T00:36:44,-0.81,N4,U56A,HHZ,36.3472,-80.3829,363.0,64.68303,1.8477088779905464,x,x,102.09309,,2020-08-11T00:36:55.152676Z,2020-08-11T00:37:02.695238Z
sparta1.5202,2020-08-11T00:36:44,-0.81,N4,V55A,HHZ,35.8518,-81.2149,313.0,69.70066,1.363476691345764,x,x,189.50514,,2020-08-11T00:36:56.008535Z,2020-08-11T00:37:04.136003Z
sparta1.5202,2020-08-11T00:36:44,-0.81,US,BLA,BHZ,37.2113,-80.42049,634.0,101.398384,0.6619102217578953,x,x,35.726498,89.82709475614459,2020-08-11T00:37:01.483100Z,2020-08-11T00:37:13.306931Z
sparta1.5229,2020-08-11T00:40:37,-0.81,ET,GFM,HHZ,36.111,-81.807,1726.0,75.80774,2.345558341701652,D,E,237.71204,,2020-08-11T00:40:50.070667Z,2020-08-11T00:40:58.910366Z
sparta1.5229,2020-08-11T00:40:37,-0.81,ET,S1NC,HHZ,36.4787,-81.09453,874.0,0.09513026,3.824360592956947,D,E,40.846344,,2020-08-11T00:40:37.118294Z,2020-08-11T00:40:37.205059Z
sparta1.5229,2020-08-11T00:40:37,-0.81,ET,S2NC,HHZ,36.46379,-81.14582,934.0,4.8029866,0.885698612563445,x,x,250.77982,,2020-08-11T00:40:37.827823Z,2020-08-11T00:40:38.394476Z
sparta1.5229,2020-08-11T00:40:37,-0.81,N4,U54A,HHZ,36.5209,-81.8204,837.0,65.143425,2.4743780762568894,D,E,274.4006,,2020-08-11T00:40:48.232296Z,2020-08-11T00:40:55.828703Z
sparta1.5229,2020-08-11T00:40:37,-0.81,N4,U56A,HHZ,36.3472,-80.3829,363.0,65.51899,0.10071634500748076,x,x,102.59337,,2020-08-11T00:40:48.296986Z,2020-08-11T00:40:55.937143Z
sparta1.5229,2020-08-11T00:40:37,-0.81,N4,V55A,HHZ,35.8518,-81.2149,313.0,70.319664,-0.8036997851176076,x,x,188.84343,,2020-08-11T00:40:49.115394Z,2020-08-11T00:40:57.315130Z
